source,id,kp,dir,t_ms,theta,v
test kp20.txt,1,-20.0,-1,212.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,213.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,214.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,215.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,216.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,217.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,218.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,219.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,220.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,221.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,222.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,223.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,224.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,225.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,226.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,227.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,228.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,229.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,230.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,231.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,232.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,233.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,234.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,235.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,236.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,237.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,238.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,239.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,240.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,241.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,242.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,243.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,244.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,245.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,246.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,247.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,248.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,249.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,250.000,-0.1061,-0.381
test kp20.txt,1,-20.0,-1,251.000,-0.105,-0.359
test kp20.txt,1,-20.0,-1,252.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,253.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,254.000,-0.1043,-0.345
test kp20.txt,1,-20.0,-1,255.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,256.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,257.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,258.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,259.000,-0.0996,0.286
